Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,572.111,583.250,570.556,576.000,557.111,565.167,583.250,557.333,577.750,585.750,564.333,564.333,662.000,567.000,608.500,614.500,564.000,562.250,629.333,608.750,565.222,566.750,604.000,563.750,585.000,562.556,608.750,553.778,586.222,557.000,581.250,571,566.667
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,588.778,590.750,579.444,576.500,580.667,567.417,577.000,574.111,563.250,589.000,570.333,557.111,688.000,571.250,623.500,582.750,585.250,583.250,655.667,627.250,580.556,575.500,601.750,572.250,594.250,579.889,583.500,560.889,582.444,572.750,558.500,573,571.095
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,577.667,590.750,574.556,564.250,572.667,574.250,587.250,564.222,580.000,564.500,567.111,576.000,671.000,580.000,599.250,585.750,571.250,570.500,624.333,603.750,571.333,561.750,623.000,559.750,613.500,574.000,578.250,562.778,580.000,552.000,586.500,612,576.238
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,588.333,591.500,565.556,560.750,570.444,573.083,573.000,560.222,571.750,574.750,559.556,562.000,710.250,569.250,613.500,606.250,559.750,583.000,686.444,612.500,563.556,555.000,623.750,563.500,584.750,558.667,578.000,568.667,580.333,559.500,564.250,570,566.857
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,609.222,590.000,576.333,584.500,575.111,584.000,574.250,569.333,555.750,574.250,566.000,565.444,665.750,559.250,611.500,619.750,569.000,584.750,666.556,628.250,575.667,575.000,633.500,562.750,580.250,566.778,586.500,567.000,575.222,552.250,586.750,582,581.476
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,570.556,590.500,569.444,560.750,555.333,572.750,558.000,569.667,570.500,553.500,560.000,556.889,660.250,563.750,580.000,590.250,559.000,548.750,642.222,605.500,563.000,554.500,615.500,554.500,575.250,553.444,580.750,553.000,579.111,574.750,559.750,540,560.524
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,584.667,590.750,578.444,591.000,582.778,593.417,598.000,581.444,578.000,589.750,574.222,580.667,712.000,609.750,615.250,601.250,560.000,579.500,678.667,617.000,574.111,584.250,679.250,565.750,577.750,593.000,594.750,574.778,584.889,570.500,569.500,622,593.000
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,567.667,601.750,559.000,571.250,559.333,560.250,577.750,550.667,559.500,553.000,563.000,564.111,619.750,541.750,601.750,594.000,558.500,561.500,642.778,579.500,555.556,577.500,601.750,558.500,565.000,564.111,572.000,555.667,586.889,540.750,575.250,554,560.810
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,560.778,599.250,578.333,579.000,576.444,570.417,586.000,575.778,584.750,583.500,577.111,565.889,678.500,568.250,607.750,607.750,579.250,573.500,692.111,598.000,581.444,593.250,630.250,552.250,587.500,566.444,582.500,569.444,587.778,582.000,580.750,554,577.619
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,568.222,571.750,564.333,564.750,566.000,560.917,563.500,565.444,561.250,557.750,569.333,560.000,644.000,554.250,599.250,627.500,573.500,565.500,658.333,618.000,559.000,561.000,662.250,560.500,554.250,557.556,575.500,550.778,568.333,541.250,579.000,534,575.238
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,581.111,592.250,574.444,566.000,577.444,588.000,576.000,569.556,571.750,571.000,571.111,577.000,667.500,564.500,575.500,621.000,571.000,566.750,709.222,651.250,582.667,580.000,633.000,558.250,562.250,567.444,589.250,576.778,586.889,576.250,576.250,581,586.143
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,567.889,591.000,564.111,565.750,580.556,562.167,578.250,558.778,569.250,560.750,564.667,563.333,642.500,559.750,585.500,593.750,586.500,559.500,632.778,614.750,579.444,558.000,630.750,556.250,574.500,556.556,570.500,558.556,584.333,566.000,585.500,570,572.571
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,572.667,609.750,564.667,585.250,566.444,578.583,577.000,564.444,578.500,575.250,547.111,563.000,650.000,578.250,614.250,598.750,578.000,560.250,646.667,606.500,561.111,570.250,603.500,569.250,563.750,571.111,580.500,561.444,595.111,561.500,577.000,584,580.476
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,566.667,573.750,569.333,598.500,570.222,574.417,576.500,571.667,570.000,578.750,570.778,565.778,660.500,576.750,605.250,612.000,559.750,577.000,664.889,621.500,561.444,565.750,609.250,572.000,581.000,575.444,594.500,568.556,564.778,554.750,560.250,564,579.810
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,562.000,599.750,564.889,578.750,574.222,560.500,565.500,565.667,560.750,554.000,570.111,565.444,672.750,558.000,622.750,579.750,583.000,569.250,633.667,615.750,574.222,555.750,611.750,559.500,567.250,564.667,572.750,555.222,576.778,566.250,568.000,566,574.476
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,600.000,614.000,574.222,570.250,577.222,587.583,593.750,568.889,567.000,595.250,567.778,570.889,668.000,563.000,621.500,618.750,580.250,581.000,680.889,654.750,587.667,582.000,628.750,590.250,592.750,578.000,591.000,574.333,599.889,578.500,587.500,601,587.381
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,561.111,593.250,558.222,557.500,556.778,561.167,572.000,561.778,552.750,561.750,558.778,550.667,635.000,536.000,602.000,583.000,548.750,552.000,617.222,598.750,553.000,544.500,598.750,538.000,541.500,551.333,584.250,560.333,573.667,560.250,562.500,560,571.048
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,580.000,606.250,583.667,584.500,578.333,587.667,560.250,587.889,574.000,580.750,593.556,585.111,679.750,569.750,629.250,597.000,585.750,588.000,657.667,635.750,574.556,586.000,642.250,570.000,573.750,575.556,588.500,556.778,594.778,562.250,583.500,573,587.048
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,558.556,562.750,565.333,567.000,558.000,567.750,570.500,564.667,573.750,558.250,561.333,558.111,635.750,560.250,584.500,565.500,564.250,576.250,639.556,597.250,551.889,567.750,579.750,560.250,580.750,563.222,569.500,555.333,562.778,555.000,563.000,576,567.143
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,581.444,594.000,584.444,571.750,578.222,580.417,587.750,579.667,572.500,583.500,586.333,571.778,682.750,599.250,615.000,612.500,586.750,568.750,679.889,614.750,573.667,575.250,632.500,576.250,591.000,583.778,578.000,561.556,580.111,578.750,572.500,589,581.905
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,560.222,577.000,562.333,563.250,575.111,564.083,582.750,556.778,542.250,569.750,561.778,561.333,639.250,550.250,603.000,580.000,557.000,576.250,636.111,583.750,567.222,561.000,594.250,566.000,559.000,567.333,565.500,559.000,571.556,560.000,585.750,537,573.429
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,563.111,577.250,568.000,568.500,572.444,571.667,578.250,565.556,570.750,569.250,570.667,563.778,671.500,579.250,630.500,587.250,546.750,576.750,643.111,623.500,567.111,575.000,633.750,555.750,579.500,559.000,560.000,566.556,561.333,579.750,585.250,566,581.333
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,579.778,576.000,580.444,568.500,578.667,563.000,576.000,568.889,583.750,556.250,580.333,570.222,672.000,568.750,610.750,575.500,582.000,562.500,650.889,602.250,583.222,586.500,612.250,590.000,590.500,564.444,567.500,564.333,563.444,551.750,574.250,588,584.381
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,562.889,568.250,558.889,569.000,572.111,567.083,569.000,561.889,569.000,569.250,575.556,566.111,648.250,556.750,619.750,596.000,567.750,578.000,615.778,606.750,555.889,584.250,613.750,565.250,572.500,562.667,572.250,560.444,557.000,559.000,556.250,587,566.952
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,574.667,591.500,580.444,575.250,569.667,573.500,578.750,571.556,560.500,579.000,575.444,572.111,636.500,563.500,613.750,611.750,582.250,573.500,641.667,609.500,565.556,567.500,637.000,598.500,586.750,573.333,578.250,558.556,583.333,567.500,582.750,556,582.571
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,558.222,551.750,560.111,560.750,566.667,572.000,575.000,564.556,563.750,557.000,564.556,561.889,633.000,552.500,593.000,578.000,577.750,578.500,613.778,616.750,557.778,555.250,586.750,569.000,572.750,561.000,549.500,565.000,548.333,554.750,566.500,553,569.571
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,580.444,571.500,580.556,582.000,569.889,573.167,584.750,567.333,567.750,574.250,572.000,577.111,687.250,570.000,632.250,604.750,590.250,583.500,632.111,633.500,570.444,581.250,598.500,569.250,587.000,574.444,589.750,572.222,570.000,566.500,570.250,577,588.952
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,559.111,558.000,557.222,569.000,568.444,560.083,566.500,550.000,562.750,570.250,568.667,552.556,637.000,576.500,598.250,576.500,563.500,567.000,601.778,616.500,557.000,561.000,586.000,541.250,581.000,558.889,574.750,548.667,554.889,545.500,588.250,556,566.619
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,575.778,577.500,580.111,593.000,597.556,579.083,554.500,586.000,594.750,573.500,576.778,577.889,665.500,567.750,622.750,610.250,573.000,572.500,633.333,609.000,577.444,551.750,642.500,579.750,594.750,586.444,611.250,587.000,573.000,582.500,569.000,563,588.571
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,558.889,551.500,574.667,564.000,565.667,578.333,567.500,563.444,561.500,574.750,563.111,555.444,646.000,558.250,600.500,572.250,565.750,573.000,617.778,601.500,552.000,565.500,585.000,560.500,565.000,559.222,566.500,560.444,565.778,551.500,566.000,552,574.762
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,564.889,583.000,573.778,579.500,575.111,580.583,575.500,564.556,561.500,589.500,564.333,568.444,627.750,572.500,602.000,603.250,562.000,579.250,664.778,635.750,570.556,567.750,624.000,570.750,588.500,578.889,568.000,567.111,570.000,568.000,580.250,593,584.905
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,579.111,572.250,580.778,563.250,566.667,574.250,566.000,568.222,572.000,571.500,559.111,564.222,631.250,565.500,617.000,596.500,574.000,555.500,641.889,621.250,575.444,571.000,626.750,558.500,572.250,566.222,582.000,561.000,567.111,556.750,583.000,553,572.857
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,560.222,563.750,573.778,553.750,571.111,562.167,585.500,575.556,584.000,579.500,560.000,568.111,659.250,572.750,611.750,567.250,585.500,560.250,639.000,638.250,557.000,556.750,608.250,569.750,591.250,560.778,584.000,568.556,556.111,557.750,569.500,598,571.381
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,581.444,570.000,575.444,553.750,570.667,577.500,571.750,579.111,561.500,575.750,577.667,569.333,641.000,577.500,618.500,569.500,573.750,589.500,648.556,586.500,584.444,558.750,625.000,572.000,579.000,574.222,576.500,566.333,565.222,567.500,573.000,562,584.571
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,559.556,559.000,571.222,571.500,556.667,558.167,553.750,562.778,566.000,565.750,559.222,566.778,620.500,555.000,616.750,577.000,561.500,544.750,616.556,588.500,558.667,578.750,622.250,558.000,575.750,568.333,555.250,567.556,557.222,542.500,565.000,592,568.619
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,578.778,571.250,581.111,572.250,584.556,585.500,594.750,581.667,564.500,577.000,576.778,581.778,671.500,587.250,624.750,593.750,578.250,588.500,691.222,630.250,576.222,597.250,644.750,568.500,585.250,574.000,595.000,574.444,570.556,590.750,590.500,601,585.524
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,567.444,560.000,563.444,561.750,563.667,571.833,552.000,563.667,579.250,545.250,555.444,559.889,645.250,553.750,577.750,564.750,554.000,557.750,633.111,587.000,564.889,561.500,602.000,556.000,574.500,568.000,581.000,551.333,559.556,562.500,569.250,552,564.905
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,573.000,563.250,574.667,570.500,569.222,573.667,577.250,578.667,576.750,569.750,565.222,579.556,661.250,569.250,649.000,603.250,586.750,570.250,648.333,614.000,582.111,585.750,627.000,577.000,581.750,568.556,578.250,567.222,565.111,567.750,574.250,585,591.952
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,569.222,552.250,571.333,573.250,557.111,563.583,559.750,562.222,565.000,557.750,578.333,556.222,625.000,559.250,571.500,574.000,564.750,547.250,610.889,624.000,565.667,569.000,588.750,560.750,545.750,565.000,563.500,561.889,546.889,556.750,572.250,608,573.381
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,577.333,579.250,572.667,570.000,583.667,573.417,587.250,579.778,575.250,580.250,577.000,580.444,643.250,571.500,620.750,597.250,565.000,560.500,634.889,614.500,580.111,576.250,617.750,578.250,591.000,564.778,596.250,556.222,569.000,566.000,567.250,570,577.095
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,563.778,566.000,583.333,555.750,561.556,577.750,564.250,558.333,563.750,570.500,575.000,567.667,601.250,568.000,610.500,582.250,575.250,576.750,630.444,607.000,571.444,554.000,592.000,561.250,579.500,574.556,575.750,557.000,562.333,560.750,562.750,551,569.048
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,560.778,558.000,562.556,556.750,574.000,574.417,539.250,565.778,568.000,571.250,572.444,577.889,640.500,564.750,604.000,572.000,565.000,557.750,627.444,623.500,561.889,579.250,612.000,566.750,552.000,561.222,582.750,562.556,560.778,557.000,570.500,558,576.714
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,578.333,568.000,573.889,583.750,571.111,576.250,582.000,568.444,575.500,590.750,572.111,567.111,621.000,548.000,604.250,580.750,569.250,569.750,617.556,619.750,566.000,575.250,617.000,554.000,586.500,569.667,600.500,562.889,568.222,571.250,576.500,584,574.095
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,581.444,573.250,564.444,576.000,571.556,568.333,563.000,555.000,567.500,558.000,560.111,559.778,624.500,574.000,626.000,573.500,573.750,558.500,609.111,598.000,568.556,557.250,615.500,549.500,553.750,567.667,573.000,566.111,556.778,566.250,555.000,567,575.714
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,590.667,595.500,573.333,604.500,572.111,587.583,579.500,576.667,578.000,562.750,575.222,570.667,641.500,584.750,619.500,592.250,605.500,575.500,614.111,614.500,576.333,582.750,599.000,574.000,569.000,577.556,584.500,579.222,574.000,570.750,591.750,590,582.476
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,563.000,551.250,550.111,559.500,562.889,559.500,544.250,557.222,556.250,563.000,548.778,559.667,612.750,556.000,615.750,575.500,559.000,560.250,589.556,598.000,565.111,552.500,595.750,538.750,545.000,554.667,584.500,546.000,546.111,552.500,557.500,578,570.524
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,573.556,595.500,581.667,565.250,584.333,577.917,584.500,580.778,583.250,569.500,581.222,582.778,661.000,594.500,640.500,606.000,595.500,590.000,613.667,631.250,583.333,573.000,633.000,563.750,581.750,570.222,596.750,563.444,583.556,578.750,599.250,589,585.762
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,566.000,550.500,569.556,565.000,568.222,566.833,573.250,566.444,567.250,562.250,562.111,567.222,637.500,552.500,586.000,588.250,552.000,555.500,609.000,620.250,564.667,559.500,597.000,562.500,566.750,560.111,563.000,552.000,555.667,571.250,572.250,567,571.381
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,577.667,568.750,586.222,585.750,573.778,574.917,581.250,574.667,580.250,569.000,578.889,569.778,661.000,561.000,640.250,580.500,581.500,550.250,610.667,618.750,566.000,567.250,615.500,581.250,565.250,576.111,580.500,585.556,566.556,574.500,572.250,561,590.333
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,568.111,567.000,566.000,579.750,566.889,573.917,577.000,553.111,573.500,548.000,569.889,560.778,638.750,569.000,586.500,589.250,566.500,567.500,570.667,619.500,556.333,568.000,598.250,554.500,583.000,577.000,580.000,555.000,558.111,561.000,569.500,578,571.429
